text	label1	label2	label
@RayWiggel @RegSprecher @cducsubt @BMI_Bund @AfDKoeln @Alice_Weidel ...ach so...ich bin aber auch humorlos😊 |LBR| #Kika #HR #DiaaMohammedAli	OTHER	OTHER	0
Wie die NYPD mitteilte, sei das Fahrzeug im Manhattan auf einen Fußgänger- und Fahrradweg gefahren und habe dabei mehrere Menschen gerammt.	OTHER	OTHER	0
Es kotzt mich an und bringt mich selbst zum kotzen, wenn Özdemir, oder wie immer der geschrieben wird, von PATRIOTISMUS redet oder sich über DEMOKRATIE ausläßt!	OFFENSE	ABUSE	1
@ReneTruninger @welt Die Art der Verspottung ist mittlerweile weltweit...!	OTHER	OTHER	0
@UweK83442904 @GamemomManuela @blubberette Kann deutsche Deppen, die immer nur unangebracht lehrmeisternd Fingerzeigen und dabei tatsächlich immer nur relativieren, nichts benennen, so allen schadend und sich vor allem drückend, nicht mehr ausstehen. |LBR| Hau ab.	OFFENSE	INSULT	1
mit Frau #Nahles geht die #SPD wenigstens komplett runter	OFFENSE	INSULT	1
@siwiarchiv Bislang keine konkrete Ausformung, außer der polit. Zusage, dass sich am Zugang zu Stasi-Unterlagen nichts verschlechtern wird.	OTHER	OTHER	0
@SpadeCarrier @machtjanix23 @AthinaMala @_macmike @magna_est @petpanther0 @NoHerrman @teite99 @info2099 @lifetrend @ThomasGBauer @SchmiddieMaik @charlie_silve @willjrosenblatt @feldenfrizz @nasanasal @ellibisathide @MD_Franz An alle: nehmt mich bitte aus dem verschissenen Thread mit Ao raus, ich ertrage deren geistige Insolvenz nicht.	OFFENSE	INSULT	1
@StefanScharf_DD @Claudia_Mertes Wenn christliche Fundamentalisten in Deutschland wieder Einfluss gewinnen, sag mir Bescheid. Dann werde ich meine Energie gleichmäßiger auf beide Religionen verteilen.	OTHER	OTHER	0
@brodnig Danke für die spannende und konstruktive Debatte - war super	OTHER	OTHER	0
@Jan0077 @NikYello @DHB_Teams @ihf_info @TeamD Hast du vorher wenigstens ein Spiel der Norweger verfolgt?	OTHER	OTHER	0
Nachts noch viele Kilometer auf den Straßen unterwegs - wer kennt das in der Politik nicht. Gute Besserung und schnelle Genesung, liebe @_A_K_K_ . CL #Verkehrsunfall	OTHER	OTHER	0
@WolfgangWerda @EricGiesel @SPIEGELONLINE Von Parteien hat das deutsche Volk die Schnauze voll, schon gar von Linken. |LBR| Wenn wir heute den Begriff „Kriminelle Vereinigung „ hören denken die meisten an den sogenannten Bundestag/Bundesregierung.	OFFENSE	ABUSE	1
@diaeter @Rauten_Ratte Um ein Problem lösen zu können, muss man es zunächst konkret identifizieren. Hilfreich ist es auch, die Ursache des Problems nicht zu fördern.	OTHER	OTHER	0
@tiggena Warum sollte man sexistische Rassisten wie Dich belohnen?	OTHER	OTHER	0
@Wookie_In_Crime Wir verstehen Ihren Punkt und diskutieren das schon seit längerem in unserem Verband. Nach den NSU-Morden, einer rechtspopulsitischen Partei im Bundestag, brennden Flüchtlingsunterkünften ist es wichtiger denn je, gegen jede Form von Rassismus zu protestieren.	OTHER	OTHER	0
@Ralf_Stegner Und was gedenken Sie gegen diesen Menschenfeind #seehofer zu tun ? Ich meine neben twittern?	OFFENSE	INSULT	1
In Deutschland gilt derjenige, der auf Probleme hinweist, als viel gefährlicher, als derjenige, der die Probleme verursacht. Es müssen wohl noch viele Kinder erstochen, Homosexuelle gejagt &amp; Frauen auf bestialische Art &amp; Weise vergewaltigt werden, bis die Politik aufwacht!	OFFENSE	ABUSE	1
"@Frodilon @neoM1913 @specht_oliver Es stimmt nicht. |LBR| Die Mengenverhältnisse allein machen das schon deutlich |LBR| Eine Bolshevikenlüge des Club of Rome der schon mehrere zündete |LBR| Geht um Exproriation. Nicht um ""Klimaschutz"" |LBR| Und wie kann man so dumm sein dem Ikarusflug zu folgen wir könnten das Erdklima schützen?"	OTHER	OTHER	0
@von_Steiner Fritz, bist Du okay, oder klopft das BKA gerade mit `nem Vorschlaghammer an Deiner Tür? 😂😂😂	OTHER	OTHER	0
@FelixLeidecker Die Antwort ist C, Herr Jauch	OTHER	OTHER	0
@Neodeutscher @KonseqLiberal Ja. Und tschechische Kultur finde ich gut.	OTHER	OTHER	0
@stefanolix @IvyandWoe Für Frauenrechte muss man keinen Feminismus haben. Und ich rede vom Feminismus im Westen. Dieser ist ideologisch.	OTHER	OTHER	0
Ausreisepflichtige kriminelle Ausländer müssen schnellstmöglich raus aus Deutschland.	OTHER	OTHER	0
@christian_neef Unser Wahlprogramm wird in keiner Weise relativiert oder abgeändert. Wir erkennen Annektion der Krim nicht an und stehen zu den Sanktionen.	OTHER	OTHER	0
@Harald70199 Hat sich wohl schon abgesetzt.	OTHER	OTHER	0
@SNeustra Wir haben 2008 ein Kita-Jahr kostenfrei gemacht. CDU und FDP habens 2009 abgeschafft. Wir haben angefangen die Eltern mit 100€ Kitageld zu entlasten. CDU, Grüne und FDP brechen das ab und entlasten nicht weiter... Wir wollen das! Wir wollen die Kita beitragfrei machen!	OTHER	OTHER	0
+++ Der Artikel über die Türkei war nicht aktuell! +++ Wir entschuldigen uns für eventuell entstandene Verwirrung und haben ihn gelöscht!!!😓	OTHER	OTHER	0
@SteinbachErika Dass die Dreistigkeit Angela Merkels, angesichts eklatanter Übergriffe von Migranten auf Deutsche, abermals Toleranz von den gebeutelten Deutschen zu fordern, von der hiesigen Presse nicht im geringsten kritisch kommentiert wird, verrät alles über die Journaille in diesem Land.	OFFENSE	ABUSE	1
@DerDoktorant Y-Achse. Nach oben Zunahme, nach unten Abnahme.	OTHER	OTHER	0
@JaSiebert @Ralf_Stegner Nein. Da steht drin, wie viele Menschen wir in den nächsten Jahren erwarten und wie wir damit umgehen. Das macht auch gerade @larsklingbeil noch einmal deutlich.	OTHER	OTHER	0
@Verlierer50 |LBR| Christen sind tierfreundlich. Asiaten nicht. Außer Buddisten. Juden?	OFFENSE	ABUSE	1
Heute Abend beginnt die diesjährige #Israelpedia in #Frankfurt |LBR| #DIG #JuFo #Israel #Deutschland	OTHER	OTHER	0
Und jetzt den #Grindel im Mittelkreis steinigen!<U+0001F602><U+0001F602><U+0001F602> #GERNOR	OFFENSE	ABUSE	1
@FrauBruellen @LiDeLi7 Du kommst aus meinem Lager, stimmt's ?	OTHER	OTHER	0
Debettenbeiräge von uns aus der letzten zeit	OTHER	OTHER	0
Würde ja gerne bei @SkyTicketDE bestellen, geht nur halt mal wieder nicht <U+0001F644>	OTHER	OTHER	0
@KonseqLiberal Ja, der sieht etwa so alt aus wie Du.	OTHER	OTHER	0
Veranstaltet von @IsraelBondsNews in Kooperation mit @JuFoDIGBerlin, @LaFrahm-GISEP und @IsraelinGermany-Economic and Trade Mission	OTHER	OTHER	0
@immergenau Ein Vollidiot, sorry, aber meine Meinung.	OFFENSE	INSULT	1
Islamisten und IS versuchen uns den Atem zu rauben und wollen uns einsperren hinter Beton-Absperrungen.	OTHER	OTHER	0
Heute mache ich mal bei #FridaysForFuture mit! Wofür den ganzen Tag im Büro sitzen und arbeiten, wenn Deutschland doch eh politisch unter anderem durch den Asyltourismus oder andere grüne Wahnvorstellungen gegen die Wand gefahren wird <U+0001F603><U+0001F643>	OFFENSE	ABUSE	1
Kundgebung d. neonazistischen #ArminiusBund #Düren am Sa.13.2. um 12h, nicht 13h! Wir werden euch hier ü. Gegenprotest informieren! #nonazis	OTHER	OTHER	0
Die fehlende #EheFürAlle hat #Konsequenzen für Arbeitnehmende, etwa wenn es bei Auslandsaufenthalten Visa nur für Eheleute gibt @VK_tweets_	OTHER	OTHER	0
@AnjaReschke1 @Kachelmann Die personifizierte Arroganz, @AnjaReschke1 verdreht Hajo Friedrichs Diktum ins Gegenteil. Wir bezahlen mit unseren #GEZ-Zwanggebühren eine Frau, die sich Journalistin nennt, aber ihren Beruf pervertiert.	OFFENSE	INSULT	1
Gemessen an den Kommentaren wird der deutsche Edel-Fan wieder einen Ausländer zum Sündenbock für das Ausscheiden der eigenen Mannschaft küren, ausnahmsweise kein Türke!<U+0001F602><U+0001F602>#GERNOR	OTHER	OTHER	0
Was ist nur aus dem Verfassungsgericht geworden? Diese Voskhule Administration tut dem Land nicht gut. #linksrotgrün #verschwult	OFFENSE	ABUSE	1
@krippmarie Frau Wagenknecht ist eine Wohltat für die Ohren, neben diesen unsagbaren Plappermäulern - angeführt von der neidischen Kipping!	OFFENSE	INSULT	1
Die latente Versuchung in jedem akademischen Umfeld ist wohl, die Schöpfung auf einige interpretative Schemata zu reduzieren und sie so des eigentlichen Mysteriums zu berauben, das ganze Generationen dazu bewegt hat, das unbedingt Notwendige, Gute, Schöne und Wahre zu suchen.	OTHER	OTHER	0
@Heinrich_Krug @krippmarie Sorry aber das ist schon gruselig wie Merkel aussieht....irgendwie passt die optisch besser zu den Afghanen oder Syrern 😡😡	OFFENSE	ABUSE	1
Das deutsche Verbötchen zur Vollverschleierung muss so wie in anderen Ländern Europas ausgeweitet werden. #Burkaverbot	OTHER	OTHER	0
@weidenkatzl |LBR| So ist es. Schwule dürfen ja immer bleiben. Pfui Teufel!	OFFENSE	ABUSE	1
@China_Welt_News Eine zusätzliche Folge der islamischen Masseneinwanderung, gesteuert von Merkel und den Grünen Dummköpfen!	OFFENSE	ABUSE	1
@idacampe Danke fürs Berichten auch von mir.	OTHER	OTHER	0
@peteraltmaier @Besser_Deniz Ich Scheisse auf den Yücel, solange die Deutsche Botschaft in Manila vor Menschenverachtung strotzt !!!	OFFENSE	INSULT	1
Das war's! Danke allen Teilnehmer_innen und Besucher_innen für einen tollen HAMBURG PRIDE 2013! #HamburgPride ^ml	OTHER	OTHER	0
Uns gibt es jetzt auch auf #twitter. Folgt unserer Page - empfehlt sie weiter!	OTHER	OTHER	0
Das @ErzbistumHH hat für Initiativen in der #Fluechtlingshilfe mit dem heutigen Tag über 300.000 € bewilligt.	OTHER	OTHER	0
Ein bisschen stolz darf man sein: Das @ErzbistumHH hat seit März 2015 Projekte in der Flüchtlingsarbeit mit über 375.000 € gefördert.	OTHER	OTHER	0
Jedenfalls hat sie 'nen Plan #Tatort	OTHER	OTHER	0
@a_huebner_law Gratulation! Gleichberechtigung haben Sie bereits.	OTHER	OTHER	0
@Wildespess fröhlicher gruß aus der hauptstadt 👍	OTHER	OTHER	0
@CDU @bundeswehrInfo Die #Politclowns der #Blockparteien werden immer irrer. |LBR| Jetzt vergessen sie sogar, dass sie seit Jahrzehnten regieren und natürlich für alle Versäumnisse selbst verantwortlich sind.	OFFENSE	ABUSE	1
@SirSchnee @Margit030 Das habe ich mir gedacht!Es werden unheilbare Krankheiten und vor allem unbekannte Viren Im Buntland eingeschleppt !	OFFENSE	ABUSE	1
@MARKANTdjPOOL Sie verlgeicht nicht sich mit den Opfern, sondern weisst auf die Paralle zwischen dem Handeln der Altparteien und Görings hin. #Bundestag	OFFENSE	ABUSE	1
@BlondJedi @Boelscheline Hey Charr...du bist kein guter Boxer...im Ami-Land haut dich jeder Sparingspartner wech du Pfeife...! |LBR| @ManuelCharrr	OFFENSE	INSULT	1
"@runaway4health Bitte machen Sie sich wenigstens die Mühe &amp; differenzieren a) zwischen Anerkannten (um die geht es in Ihrem Link, die haben ohnehin das Recht) &amp; subs. Geschützten (da gehts um die ~50.000 zusätzl.) &amp; b) zwischen ""dürfen nachholen"" und ""holen nach"". Faktor scheint nicht sehr hoch."	OTHER	OTHER	0
@sonneundmond1 Gerne verweisen wir z.B. auf unsere Mahnwachen, unsere Bildungsprojekte und so ziemlich jede Stellungnahme, in der wir den Antisemitismus der deutschen Mitte, Linken, Rechten nicht verschweigen. Letzteres gilt aber nach wie vor auch, wenn die Antisemiten auch muslimisch sind.	OTHER	OTHER	0
@DieterFrikadell Höchstwahrscheinlich....^^ |LBR| (Obwohl...die meisten der übliche Verdächtigen stehen schon länger auf meiner Blockliste...und ich bei denen! <U+0001F609>)	OTHER	OTHER	0
@janick_klossner @IBDeutschland @tazgezwitscher Hach gottchen ...bist du peinlich!	OFFENSE	INSULT	1
@KathaSchulze @GrueneLandtagBY Das würde ich mir nicht antun. Der Lebenslauf ist auf jeden Fall versaut.	OTHER	OTHER	0
@claasen_nils @KajHoffmann Wenn diese Koalition möglich wäre und Lindner endlich mal genug Mut hätte Verantwortung zu übernehmen, dann würde ich Ihnen zustimmen! Ich bin dafür jetzt 2 Jahre GroKo und dann mal schauen!	OTHER	OTHER	0
@Pasinelli72 Biologische Eigenschaften sind Angeboren, Ideologien nicht.	OTHER	OTHER	0
"@f4ksoc3ty Glaube mir, ich kenne Land u. Leute, so wie Gabriele Krone-Schmalz RU kennt u. ihre gegenteilige Meinung nicht ""gefragt"" ist."	OTHER	OTHER	0
@rgruhn Dann hat das aber wenig mit Mut zu tun!<U+0001F914>	OTHER	OTHER	0
"@ericcartmensmum Ich fragt nicht nach dem ""warum nicht"", sondern nach dem Warum?"	OTHER	OTHER	0
@Tom174_ Ja, es waren nicht mehr als zehn. Ich zähle 8.	OTHER	OTHER	0
Man hat sich verkauft- #SPD koaliert mit #CDU . |LBR| Ich geh dann mal erbrechen.	OTHER	OTHER	0
@Moin81787269 @schwattebea @kn_online @stadt_kiel @KRadwege Soweit ich das verstehe, würde ein Fahrverbot auf der B76 vor allem kurzfristig dazu führen, dass der Verkehr um Kiel herum einen Umweg von 30 Minuten über Dorfstraße fahren müsste. Das wäre sicher kein sinnvoller Beitrag zur Verkehrswende.	OTHER	OTHER	0
Alles Gute, lieber Deniz Yücel (@Besser_Deniz) zum Geburtstag. Hoffentlich der letzte in türkischer Haft! Für mich sind Sie ein Held!	OTHER	OTHER	0
@pip_news Doch genau das bin ich - sie scheinen aber zu den 13 % vom anderen Ufer zu sein	OTHER	OTHER	0
In Romanen essen erfolgreiche, alleinstehende Frauen zum Abendbrot immer ein Omelette mit knackigem Salat und trinken dazu ein Glas Chardonnay. |LBR|  |LBR| Bei mir gibt's heute Rührei mit Baked Beans und ein Bier. |LBR| Das ist alles, was Ihr über mich wissen müsst.	OTHER	OTHER	0
@anna_IIna Welt-N24....wo auch immer die ihre Pseudo-Historiker ausgraben..und zum Reden wiederbeleben, aber sie tuns..😂😂😂	OFFENSE	INSULT	1
Alles Gute zum Geburtstag, liebe @anettselle und Danke für deine tolle Berichterstattung aus dem #HambacherForst !! |LBR| <U+0001F5A4><U+2764><U+0001F382><U+0001F37E><U+2764><U+0001F5A4>	OTHER	OTHER	0
@Beatrix_vStorch Einer der Vorteile die hier geboten werden ist , das man hier reihenweise die Linksdrehenden Spinner blocken kann ohne viel aufwand	OFFENSE	ABUSE	1
@ArminRohde Sie südostwestfälischer BINSENWOMBAT! Ich hoffe, Sie haben die ganzen Ähs vorher rausgeschnitten!!	OFFENSE	INSULT	1
Surprise, Surprise! |LBR| #Journalisten sind in #Stuttgart NICHT! durch die Ausnahmeregelung zum #Dieselfahrverbot abgedeckt!! |LBR| Das bedeutet: |LBR| #Journalisten werden in der Ausübung ihrer Arbeit massiv behindert -&gt; das kommt einem #Berufsverbot gleich! |LBR| Danke @Umwelthilfe |LBR| <U+0001F92C><U+0001F621><U+0001F92C><U+0001F621><U+0001F92C><U+0001F621><U+0001F92C>	OTHER	OTHER	0
@Spiro0815 Der #Sozialismus hat wieder mal sein wahres Gesicht gezeigt und einen Staat und die Bevölkerung ins Verderben getrieben. |LBR| Natürlich gefällt diese Wahrheit nicht allen. Das ist uns beiden vollkommen klar.	OTHER	OTHER	0
@gerdm4863 Das ist einfach so...aber noch lange kein Grund Deutschland mit fremden Männern zu fluten....	OFFENSE	ABUSE	1
mit Andrea #Nahles für die #SPD endgültig untergehen	OFFENSE	INSULT	1
@krippmarie @jouwatch Uiiii...die Häßlichkeit geht in die nächste Runde...	OFFENSE	ABUSE	1
@HeikoMaas SIE brauchen nicht zu FORDERN, Sie sind in der Regierung und haben die Macht, etwas zu ändern! TUN SIE ES DOCH ENDLICH!	OTHER	OTHER	0
Ihr könnt Frauenquoten einführen soviel Ihr wollt, aber Ihr könnt mich nicht dazu zwingen, Quotenfrauen zu respektieren. |LBR| 😈	OFFENSE	ABUSE	1
"Eins hat Sultan Erdogan schnell erkannt, der Weg zum Islamischen Großreich (IS) wurde ihm vom ""Gefühlsdusel-Westen"" gut geebnet u. bezahlt 😜"	OFFENSE	INSULT	1
Bätschi Bätschi SPD ----sind wir im Kimdergarten!!! Frau Nahles???	OTHER	OTHER	0
Gauland, rede Dich doch nicht mit den Aussagen anderer heraus. Damit |LBR| wird doch Dein dummes Rasissmusgelaber nicht entschuldigt.	OFFENSE	INSULT	1
"@timhall42 @delarabur @spdde @BayernSPD Unsinn. In der SPD gibt es über 440.000 Meinungen. Oder wie es Hans-Jochen Vogel, SPD-Vorsitzender 1987-1991, sagt: ""Die Partei, die hundertprozentig meinen Vorstellungen entsprach, hätte wahrscheinlich nur aus mir selbst bestanden."""	OTHER	OTHER	0
@Beatrix_vStorch Macht endlich Schluss mit dem Gernder Wahnsinn.	OFFENSE	ABUSE	1
So kann jeder kaufen. Auch Afrikaner. Auch Leute,die kein Konto haben. Und man riskiert fast nix. Man lädt die Karte mit 5€ auf oder mit	OTHER	OTHER	0
@Blockupy #blockupy Soli-Demos heute Abend ++ Köln: Kölner Dom 17 Uhr ++ Berlin: 17 Uhr Admiralstr. 1-2 ++ Düsseldorf: 18 Uhr Burgplatz	OTHER	OTHER	0
"Das Wahlergebnis ist sicher ""getürkt"". Wie viele Analphabeten gibt |LBR| es eigentlich in der Türkei?"	OFFENSE	ABUSE	1
@mpitzke @SPIEGELONLINE Gut gemacht Mr. Präsident! Die dumme Nudel mal wieder richtig vorgeführt!😂😂👍	OFFENSE	INSULT	1
"@KatrinW_BILD @bpol_nrw Ja, ""Mann"", kenne ich, diesen nicht persönlich."	OTHER	OTHER	0
klingt eigentlich so als wärs gar nicht gedacht, sondern nur aus nem sprüchebuch für linke gruppen abgeschrieben.	OTHER	OTHER	0
+++ ACHTUNG! UPDATE: DIE KUNDGEBUNG AN DER KONSTABLERWACHE UND CDU ZENTRALE SIND ABGESAGT! STATTDESSEN IN WIESBADEN AM HBF AB 18 UHR! +++	OTHER	OTHER	0
@7Lebt @AndreasStraub Das ist das Problem mit dem projizieren... dies ist die gesteigerte Form... UNHEILBAR..	OFFENSE	INSULT	1
@KonseqLiberal @Die_Gruenen @CDU @petertauber Schlimm genug. Allerdings sind die Grünen ja nun die größten Fans des Islam und einer islamischen Gesellschaft.	OFFENSE	ABUSE	1
Die ideologische Gleichschaltung der Mainstreammedien lässt sich aktuell sehr schön auf Twitter beobachten. Nachdem Tilo Jung aufgerufen hat, den Begriff #Klimaleugner zu etablieren, verbreiten nun zahlreiche Journalisten Tweets, in denen sie empört solche „Leugner“ anprangern.	OTHER	OTHER	0
@KonradSybille @ZDFheute Sie wissen wer bei #Amri so richtig versagt hat? Der gleiche, der die Verfassung schützen soll und die AfD berät..	OTHER	OTHER	0
@k3vk4 @DerSPIEGEL 39 Cent sind zu viel für ein Stück guten, aufwändigen Journalismus?	OTHER	OTHER	0
@Kritisches_Auge Sie wissen aber, um welche Zahlen es sich da dreht?	OTHER	OTHER	0
Der einzige, der sich noch darüber freut, dass Merkel auf ihrem Stuhl klebt |LBR| ist der beginnende |LBR| Dekubitus.	OFFENSE	INSULT	1
@xXxOPEXOBxXx @HelgeThiessen @ericcartmensmum @MiataMuc Ick kann einen radikalen Einfluss von MGTOW auf unsere Gesellschaft nicht feststellen. |LBR| Uns ich halte eine negative Attitüde gegenüber Frauen, bis zu einem gewissen Grad, für gerechtfertigt, gerade in unserem feministischen Zeitalter.	OTHER	OTHER	0
@MichaelGlaser0 @Beatrix_vStorch Hab es gelesen . Du auch , oder einfach nur mal was bescheuertes raus gehauen?	OFFENSE	INSULT	1
@nopgy Sehr gut sollte in D auch so sein!	OTHER	OTHER	0
@PamelaCostaric1 Der hat den Arsch voll auf	OTHER	OTHER	0
@MiataMuc @KonseqLiberal Die Liebe des @KonseqLiberal zu mir ist offenbar unendlich 😀	OTHER	OTHER	0
@BTsmeier Wenn du nicht dafür sorgst, wer dann? Ein paar Dumpfbacken sind immer dabei... |LBR| Andernfalls verendet Deutschland widerstandslos. |LBR| #schweigendeMehrheit	OTHER	OTHER	0
@rammdoesig @kreiten_irma Verstehe die Frage nicht, das steht doch im Tweet.	OTHER	OTHER	0
@MalteKaufmann @Cha_Knobloch Ich weiß nicht ob es stimmt , aber ich habe Gestern einen Tweet gelesen , der sinngem. aussagte , das Knobloch gar keine Jüdin ist. Ihre Mutter soll streng röm. Kath. gewesen sein und ob ihr Vater Jude war ist nicht genau verifiziert. Sie wurde dem Tweet nach streng kath. erzogen	OTHER	OTHER	0
"Von 409 EUR HarzIV entfallen 1,55 EUR auf die ""BRD-BILD-Dung"" &gt; so sehen die Erfolge Merkels für ca. 8 Mio in diesem Scheiß-Schland aus. 😜"	OFFENSE	PROFANITY	1
@AF_Will @publizistikon Die Evangelische Kirche ist schon seit Jahren zu einer Sozialarbeiter-Dienstleistungsgesellschaft mutiert! Keine Spiritualität!	OFFENSE	INSULT	1
@rakeeede @MartinsNameHier Nein, man kann bei uns bundesweite antisemitische Vorfälle/Sichtungen melden.	OTHER	OTHER	0
Da kommt vieles zusammen. Essen, Kleidung, Lebensstil... |LBR| Moustafa kannte zB Haustiere nicht. Hunde im Haus? Aufm Sofa? Katastrophe für ihn.	OTHER	OTHER	0
@ZDFheute @ZDF Und was ist , wenn die Wähler die Frauen nicht wählen wollen ?	OTHER	OTHER	0
@grim104 sag mal bitte einen deiner schlauen sätze - bin so leer heute	OTHER	OTHER	0
Diese ganze #metoo Kampagne einfach zum kotzen. Wie viele Männer werden von Frauen unterdrückt, misshandelt und missbraucht. Darüber spricht Mann nicht, aus Scham.	OFFENSE	PROFANITY	1
Super!Diätenerhöhung na klar.Deutsche Rentner wühlen in Mülleimern.	OTHER	OTHER	0
#Lindner ist für mich einer der größten #Lügner und #Heuchler der #FDP	OFFENSE	INSULT	1
#Fakt: 86% der #Flüchtlinge leben in Ländern mit niedrigem und mittlerem Einkommen.	OTHER	OTHER	0
@Einzelfallinfos Lösung in Sicht...Ticket verteuern und Sicherheitspersonal in die Busse...mit Schlagstöcken!	OFFENSE	ABUSE	1
Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke |LBR| auch schon seinen Stuhlgang überprüft?	OFFENSE	INSULT	1
@kahrs @SPIEGELONLINE Das ist nicht wirklich ein Erfolg für die #spd - ihr seid wirklich nur noch peinlich	OTHER	OTHER	0
Anlass war sein umstrittenes Buch „Die Schlafwandler – Wie Europa in den ersten Weltkrieg zog“. In der er er die Ansicht vertrat, Deutschland sei nicht schuld am Ausbruch des 1. WK.	OTHER	OTHER	0
das hätte ich der #FDP nicht zugetraut alle Achtung! nur die #Grünen kriechen allen in den Arsch	OFFENSE	INSULT	1
+++ HEUTE: 14:30 UHR FRANZ: KONSULAT +++ 18 UHR CDU ZENTRALE FRANKFURT +++ KOMMT ZAHLREICH - ZEIGT EUCH SOLIDARISCH MIT KOBANE! +++	OTHER	OTHER	0
Spannendes Projekt: unter @6Tage1967 wird in Echtzeit über den Sechstagekrieg vom 5.-10. Juni 1967 und die Geschichte Jerusalems getwittert	OTHER	OTHER	0
@HardBeat3 @sandra2519691 Warscheinlich... und für unsere SchreibenWieGehört-Kinder ...	OTHER	OTHER	0
Steckbrief: Der heutige #Nazi enttarnt sich dadurch, dass er die Regierungspolitik kritisch oder sogar spöttisch kommentiert („Hass“), sich durch Weltuntergangspanik der Medien nicht ängstigen lässt, und er in faschistoiden Kleingruppen lebt, die man früher mal „Familie“ nannte.	OFFENSE	ABUSE	1
